mOTU	P1	P2	P3	P4	I1	I2	I3	I4
OTU525	0	0	0	0	0	0	0	0
OTU526	2	0	0	0	0	0	0	0
OTU527	0	0	0	0	0	0	0	0
OTU528	0	0	0	0	0	0	0	0
OTU529	0	0	0	0	0	0	0	0
OTU530	0	0	0	0	0	0	0	0
OTU531	0	0	0	0	0	0	0	0
OTU532	0	0	0	0	0	0	0	0
OTU533	0	0	0	0	0	0	0	0
OTU534	0	0	0	0	0	0	0	0
OTU535	0	0	0	0	0	0	0	0
OTU536	0	0	0	0	0	0	0	0
OTU537	2	0	0	0	0	0	0	1
OTU538	0	0	0	0	0	0	0	0
OTU539	0	0	0	0	0	0	0	0
OTU540	0	0	0	0	0	0	0	0
OTU541	0	0	0	0	0	0	0	0
OTU542	0	0	0	0	0	0	0	0
OTU543	0	0	0	0	0	0	0	0
OTU544	0	0	0	0	0	0	0	0
OTU545	0	0	0	0	0	0	0	0
OTU546	0	0	0	0	0	0	0	0
OTU547	0	0	0	0	0	0	0	0
OTU548	0	0	0	0	0	0	0	0
OTU549	0	0	0	0	0	0	0	0
OTU550	0	0	0	0	0	0	0	0
OTU551	0	0	0	0	0	0	0	0
OTU552	0	0	0	0	0	0	0	0
OTU553	0	0	0	0	0	0	0	0
OTU554	3	1	0	2	0	0	0	1
OTU555	0	0	0	0	0	0	0	0
OTU556	0	0	0	0	0	0	0	0
OTU557	0	0	0	0	0	0	0	0
OTU558	0	0	0	0	0	0	0	0
OTU559	0	0	0	0	0	0	0	0
OTU560	0	0	0	0	0	0	0	0
OTU561	0	0	0	0	0	0	0	0
OTU562	0	0	0	0	0	0	0	0
OTU563	0	0	0	0	0	0	0	0
OTU564	0	0	0	0	0	0	0	0
OTU565	0	0	0	0	0	0	0	0
OTU566	0	0	0	0	0	0	0	0
OTU567	0	0	0	0	0	0	0	0
OTU568	0	0	0	0	0	0	0	0
OTU569	0	0	0	0	0	0	0	0
OTU570	0	0	0	0	0	0	0	0
OTU571	0	0	0	0	0	0	0	0
OTU572	0	0	0	0	0	0	0	0
OTU573	0	0	0	0	0	0	0	0
OTU574	0	0	0	0	0	0	0	0
OTU575	0	1	0	0	0	0	0	0
OTU576	0	0	0	0	0	0	0	0
OTU577	0	0	0	0	0	0	0	0
OTU578	0	0	0	0	0	0	1	0
OTU579	1	1	1	0	0	0	1	0
OTU580	0	0	0	0	0	0	0	0
OTU581	0	0	0	0	0	0	0	0
OTU582	0	0	0	0	0	0	0	0
OTU583	0	0	0	0	0	0	0	0
OTU584	0	0	0	0	0	0	0	0
OTU585	0	0	0	0	0	0	0	0
OTU586	0	0	0	0	0	0	0	0
OTU587	0	0	0	0	0	0	0	0
OTU588	0	0	0	0	0	0	0	0
OTU589	0	0	0	0	0	0	0	0
OTU590	0	0	0	0	0	0	0	0
OTU591	0	0	0	0	0	0	0	2
OTU592	0	0	0	0	0	0	0	0
OTU593	2	0	0	0	0	0	0	0
OTU594	0	0	0	0	0	0	0	0
OTU595	0	0	0	0	0	0	0	0
OTU596	0	0	0	0	0	0	0	0
OTU597	0	0	0	0	0	0	0	0
OTU598	0	0	0	0	0	0	0	0
OTU599	0	0	0	0	0	0	0	0
OTU600	0	0	0	0	0	0	0	0
OTU601	0	0	0	0	0	0	0	0
OTU602	0	0	0	0	0	0	0	0
OTU603	0	0	0	0	0	0	0	0
OTU604	0	0	0	0	0	0	0	0
OTU605	8	12	6	9	11	21	8	8
OTU606	0	0	0	0	0	0	0	0
OTU607	0	0	0	0	0	0	0	0
OTU608	3	2	0	0	0	0	1	0
OTU609	1	0	0	0	0	0	0	0
OTU610	4	0	2	0	0	0	1	0
OTU611	11	2	0	0	1	0	2	0
OTU612	4	4	0	0	2	2	0	0
OTU613	3	1	0	0	1	0	0	0
OTU614	26	1	0	0	1	0	2	0
OTU615	2	0	0	0	0	0	1	0
OTU616	1	1	0	0	0	0	1	0
OTU617	1	0	0	0	0	0	1	0
OTU618	0	0	0	0	0	0	0	0
OTU619	0	0	0	0	0	0	0	0
OTU620	0	0	0	0	0	0	0	0
OTU621	0	0	0	0	0	0	0	0
OTU622	2	0	1	0	0	0	3	0
OTU623	0	0	0	0	0	0	0	0
OTU624	1	0	0	0	0	0	0	0
OTU625	0	0	0	0	0	0	0	0
OTU626	0	0	0	0	0	0	0	0
OTU627	0	0	0	0	0	0	0	0
OTU628	8	6	4	4	4	2	3	1
OTU629	1	1	3	1	0	0	0	1
OTU630	3	0	2	3	0	0	0	0
OTU631	0	0	0	0	0	0	0	0
OTU632	0	0	0	0	0	0	0	0
OTU633	0	0	0	0	0	0	0	0
OTU634	0	0	0	0	0	0	0	0
OTU635	0	0	0	0	0	0	0	0
OTU636	0	0	0	0	0	0	0	0
OTU637	0	0	0	0	0	0	0	0
OTU638	0	0	0	0	0	0	0	0
OTU639	0	0	0	0	0	0	0	0
OTU640	0	0	0	0	0	0	0	0
OTU641	0	0	0	0	0	0	0	0
OTU642	0	0	0	0	0	0	0	0
OTU643	0	0	0	0	0	0	0	0
OTU644	0	0	0	0	0	0	0	0
OTU645	0	0	0	0	0	0	0	0
OTU646	0	0	0	0	0	0	0	0
OTU647	2	2	0	0	0	0	0	0
OTU648	0	0	0	0	0	0	0	0
OTU649	0	0	0	0	0	0	0	0
OTU650	0	0	0	0	0	0	0	0
OTU651	0	0	0	0	0	0	0	0
OTU652	0	0	0	0	0	0	0	0
OTU653	0	0	0	0	0	0	0	0
OTU654	0	0	0	0	0	0	0	0
OTU655	0	0	0	0	0	0	0	0
OTU656	0	0	0	0	0	0	0	0
OTU657	0	0	0	0	0	0	0	0
OTU658	0	0	0	0	0	0	0	0
OTU659	0	0	0	0	0	0	0	0
OTU660	1	0	0	0	0	0	1	0
OTU661	0	0	0	0	0	0	0	0
