"gene","P1","P2","P3","P4","I1","I2","I3","I4"
"3.2.1.165",0,0,0,1,1,0,0,0
"3.2.1.17",0,1,0,0,0,0,0,0
"3.2.1.176",0,4,1,2,3,0,3,3
"3.2.1.18",1,1,0,2,1,1,0,0
"3.2.1.21",1,4,2,0,5,1,2,2
"3.2.1.22",0,0,0,1,0,1,0,1
"3.2.1.23",0,2,0,0,1,0,0,0
"3.2.1.28",0,1,0,0,1,0,1,0
"3.2.1.3",0,0,0,0,0,1,0,0
"3.2.1.31",0,1,0,0,1,1,1,1
"3.2.1.37",3,1,2,4,4,1,3,3
"3.2.1.39",0,8,2,3,1,5,3,3
"3.2.1.4",24,59,42,39,51,33,56,45
"3.2.1.40",0,0,0,1,0,1,0,0
"3.2.1.41",1,4,1,2,1,3,4,4
"3.2.1.45",1,1,1,0,0,0,1,1
"3.2.1.49",0,0,0,0,1,1,0,0
"3.2.1.51",0,2,0,0,1,0,1,0
"3.2.1.52",0,1,0,0,1,2,1,1
"3.2.1.53",0,1,0,0,0,0,0,0
"3.2.1.55",0,1,1,0,1,2,0,1
"3.2.1.58",24,132,50,51,65,63,93,59
"3.2.1.59",0,0,1,0,0,0,0,1
"3.2.1.6",0,0,0,1,0,0,0,1
"3.2.1.63",0,1,0,1,2,0,1,0
"3.2.1.68",0,0,0,0,0,1,0,0
"3.2.1.7",0,0,0,0,0,0,0,1
"3.2.1.74",0,2,0,0,3,0,0,0
"3.2.1.75",0,0,0,1,0,1,0,0
"3.2.1.78",0,1,0,3,3,1,1,3
"3.2.1.8",10,14,6,14,18,18,13,12
"3.2.1.81",0,1,2,1,2,1,2,0
"3.2.1.91",1,1,0,0,2,0,1,1
"3.2.1.96",0,1,0,0,0,0,0,0
"3.2.1.97",0,0,0,2,0,0,0,1
"3.2.1.98",0,0,1,0,1,0,0,0
"3.5.1.105",4,11,9,6,17,10,11,14
"3.5.1.41",0,0,0,0,1,0,0,0
"4.2.2.-",0,4,2,2,4,5,3,6
"4.2.2.11",0,1,0,0,1,1,0,1
"4.2.2.14",0,0,0,1,0,0,0,1
"4.2.2.2",0,1,1,0,1,1,1,1
"4.2.2.3",0,1,0,0,0,0,0,0
"4.2.2.7",0,3,3,3,3,4,3,5
"4.2.2.8",0,3,3,3,3,4,3,5
"AA0",0,3,1,1,1,1,1,1
"AA1",32,86,68,43,88,80,95,91
"AA10",6,34,22,12,29,20,29,25
"AA11",6,10,9,6,13,7,16,10
"AA12",18,68,44,31,60,36,65,62
"AA14",0,3,0,1,2,0,0,2
"AA15",12,63,29,23,25,30,45,26
"AA1_1",5,8,5,5,14,6,7,10
"AA1_2",5,9,7,4,6,5,16,8
"AA1_3",6,11,8,9,13,5,19,12
"AA3",4,14,10,10,12,10,15,11
"AA3_1",20,35,28,30,35,26,33,26
"AA3_2",40,130,77,83,95,85,137,108
"AA3_3",0,2,1,2,1,1,2,1
"AA3_4",19,67,40,33,50,42,71,54
"AA4",30,102,63,55,100,67,128,86
"AA5",19,43,25,21,45,36,37,34
"AA5_1",3,0,0,1,3,0,0,2
"AA5_2",8,36,16,18,29,25,34,31
"AA6",11,26,19,12,13,16,23,17
"AA7",30,129,78,77,118,84,116,92
"AA8",18,32,27,26,35,25,32,27
"AA9",7,28,23,21,20,17,28,19
"CBM0",75,252,162,168,216,152,263,187
"CBM1",23,65,45,41,55,54,61,56
"CBM10",26,64,40,31,66,54,68,60
"CBM11",2,22,16,4,10,6,10,4
"CBM12",77,244,135,138,215,162,236,191
"CBM13",311,1025,656,602,838,663,1052,743
"CBM14",65,162,122,101,133,126,185,133
"CBM15",0,0,0,0,1,0,0,0
"CBM16",11,61,41,31,36,36,50,36
"CBM18",37,106,46,48,72,60,94,76
"CBM19",2,8,4,5,6,1,3,5
"CBM2",363,1690,848,704,1109,892,1434,933
"CBM20",67,194,118,103,153,129,191,140
"CBM21",0,1,0,0,0,0,0,0
"CBM22",7,14,6,8,13,11,14,12
"CBM23",65,272,145,107,234,180,266,149
"CBM24",2,2,3,1,2,3,5,1
"CBM25",17,21,12,9,22,9,21,14
"CBM26",13,38,16,13,36,23,25,19
"CBM27",0,0,0,2,1,2,2,1
"CBM3",50,150,87,91,119,109,143,121
"CBM32",269,977,552,464,767,693,909,767
"CBM34",4,8,4,4,6,8,14,5
"CBM35",55,232,153,125,191,180,210,182
"CBM36",1,0,0,0,0,3,1,2
"CBM37",0,5,1,1,4,2,1,5
"CBM38",7,44,23,13,39,31,26,26
"CBM4",10,78,39,45,63,70,67,68
"CBM40",0,1,0,0,0,0,0,0
"CBM41",120,219,175,131,187,133,194,177
"CBM42",50,191,121,93,174,153,178,151
"CBM43",13,18,14,15,18,18,23,21
"CBM44",0,2,2,1,2,2,1,0
"CBM45",1,2,2,2,2,5,2,2
"CBM46",1,4,2,0,1,2,3,1
"CBM47",80,345,209,185,300,312,317,316
"CBM48",199,557,372,333,472,384,603,447
"CBM5",187,572,385,355,531,372,592,487
"CBM50",1078,3182,1997,1809,2605,2112,3158,2566
"CBM51",161,608,391,306,567,459,628,497
"CBM53",20,52,35,27,44,29,55,34
"CBM54",9,28,15,15,13,12,17,24
"CBM55",0,1,0,0,1,1,0,0
"CBM56",4,62,36,21,40,42,59,38
"CBM57",112,463,263,197,366,322,380,329
"CBM59",0,1,2,1,1,0,1,0
"CBM6",113,490,320,243,422,446,492,402
"CBM60",0,4,1,4,2,6,2,4
"CBM61",12,32,24,14,35,25,41,30
"CBM62",2,8,4,2,11,11,2,5
"CBM63",1,4,1,2,1,2,3,4
"CBM64",2,7,4,2,7,8,5,9
"CBM66",21,57,34,31,48,31,59,46
"CBM67",16,70,39,25,59,50,48,53
"CBM70",0,3,0,0,0,3,2,2
"CBM71",0,1,0,0,0,0,2,0
"CBM73",8,22,17,11,16,6,20,19
"CBM74",2,5,3,0,3,0,3,1
"CBM77",2,4,3,2,2,6,3,2
"CBM79",2,10,6,0,3,2,7,4
